ID,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
4b3khTm3ufGRTyZwuYdasn,0.452,0.407,262560,0.371,0.531,6,0.0983,-9.603,1,0.0263,96.84,3,0.162
1b5t5WxtB7tg24OulHyXbQ,0.903,0.293,268456,0.175,0.528,7,0.109,-15.543,0,0.0308,83.182,3,0.089
4rqYgk3ucJZpHGgRnzfpgb,0.139,0.706,65365,0.55,0.518,1,0.114,-11.417,0,0.049,128.05,4,0.297
5SV42JTGfn6fHgoPGLiWpZ,0.94,0.284,168093,0.253,0.506,2,0.0981,-11.739,0,0.0372,134.071,4,0.187
67Hna13dNDkZvBpTXRIaOJ,0.0173,0.615,330773,0.419,0.497,11,0.135,-8.8,0,0.0395,76.997,4,0.216
70cFd2R8RaD0nc2bYPeNqS,0.0938,0.238,166027,0.42,0.488,9,0.103,-11.661,1,0.0354,145.907,4,0.0386
7aZDcmt34eouhqw29aMR91,0.649,0.484,214632,0.457,0.477,10,0.148,-10.205,1,0.0376,116.9,4,0.17
1RClyl5rvJNixxDBfrYV06,0.413,0.475,263779,0.511,0.471,1,0.0949,-10.709,1,0.0305,125.967,3,0.0978
4IhTXiZLKATmwhMZIb1GQN,0.981,0.44,193749,0.04,0.465,3,0.111,-16.887,1,0.0322,135.965,4,0.249
70u1AVYl7M8gLLRFG63v5G,0.93,0.147,94262,0.142,0.463,0,0.0511,-18.779,1,0.0407,177.698,3,0.0308
1MfI0ct17ZfLGOCOHozqeP,0.00934,0.456,58703,0.812,0.462,5,0.104,-5.556,0,0.0407,155.934,4,0.678
4Z9BqIEobITrOHayDanmTE,0.622,0.582,230380,0.402,0.462,6,0.1,-12.036,0,0.0368,114.984,4,0.121
1xdp8tXLTGbPeUSEODP9N7,0.939,0.643,206712,0.275,0.454,0,0.115,-15.462,1,0.0315,90.022,4,0.603
2k0jkujaYlCutPAXRGdaaD,0.295,0.474,295464,0.461,0.445,9,0.103,-9.826,1,0.0285,142.906,4,0.111
5HFPK8mcO6BGPZNeZPZI5L,0.00112,0.584,163968,0.865,0.433,8,0.122,-5.951,1,0.0321,126.003,4,0.0743
2YOGCTiPJWMhZRdeadFj8G,0.912,0.238,219909,0.441,0.433,3,0.167,-7.42,1,0.0364,79.445,4,0.164
5GbVzc6Ex5LYlLJqzRQhuy,0.94,0.365,248960,0.273,0.431,4,0.109,-16.526,0,0.038,132.285,5,0.238
3HMd3dLDhHC9JfS9I6X4LJ,0.783,0.504,234217,0.297,0.413,7,0.0918,-15.952,0,0.0333,165.999,4,0.0397
3qT3lUntTSpTBz7UeRP9jx,0.99,0.289,225000,0.0843,0.401,9,0.0878,-15.291,0,0.0399,119.173,3,0.104
3hJLnSftUXXFXZFg03w0Gu,0.123,0.708,224184,0.744,0.398,7,0.0836,-6.979,0,0.0572,126.012,4,0.398
4T3fNx3CgwDRRYgmFCbD4J,0.0984,0.442,229413,0.585,0.391,0,0.14,-10.332,0,0.0964,97.565,4,0.116
3kNtxC3Zx6pyNs1dWE07Td,0.0475,0.24,235000,0.492,0.387,4,0.197,-11.028,1,0.033,97.902,4,0.0765
3jpCYSHxK4wX618G2Zn5bF,0.519,0.379,222576,0.562,0.377,9,0.369,-10.399,0,0.0731,103.142,4,0.191
6OuRbvP4PgbuzBIapVzmFJ,0.374,0.43,277960,0.375,0.376,11,0.316,-9.949,1,0.0289,128.791,4,0.189
5763MM1DiIDA6wz1plwLS5,0.364,0.61,196760,0.455,0.374,7,0.129,-12.197,0,0.0543,119.948,4,0.594
07ks6QVWgEN8ibyPWmkrRN,0.984,0.177,184299,0.0473,0.371,3,0.104,-17.435,1,0.0346,171.118,5,0.247
5PzWVmfzu7rePAuFkxPQf0,0.982,0.233,234080,0.15,0.36,1,0.154,-11.736,1,0.0336,143.887,3,0.0875
54KFQB6N4pn926IUUYZGzK,0.885,0.264,371320,0.122,0.349,9,0.094,-15.399,1,0.0349,148.658,4,0.0735
4QjICO0GjMVJpK4OnxkAGz,0.721,0.318,227141,0.406,0.341,2,0.14,-9.104,1,0.0289,149.872,3,0.0852
6zeeWid2sgw4lap2jV61PZ,0.0765,0.596,229320,0.552,0.334,0,0.104,-10.278,0,0.097,97.949,4,0.112
5Qnrgqy1pAm9GyNQOgyVFz,0.973,0.435,279316,0.104,0.33,6,0.119,-22.39,0,0.0445,120.484,4,0.162
1bsgg8gOtQ5iOG8ywBdhea,0.862,0.387,261779,0.584,0.321,9,0.106,-7.873,1,0.039,147.401,4,0.221
4jGPk5J6GFrX1AzowueGoo,0.395,0.639,249881,0.651,0.313,7,0.101,-9.853,1,0.0437,101.034,4,0.529
3q9zwhKPHiUh8zVZ4sI5qs,0.355,0.829,217133,0.46,0.313,9,0.094,-10.327,1,0.036,110.015,4,0.801
7brQHA2CgQpcMBiOlfiXYb,0.00892,0.464,251187,0.701,0.309,6,0.335,-5.693,0,0.0411,83.996,4,0.356
4CnwktWyYuXEtxbMIbJtXP,0.892,0.663,132800,0.236,0.302,10,0.0788,-15.844,0,0.0507,74.97,4,0.236
0E2G75tZnsbqforVzmMU4a,0.246,0.424,96052,0.282,0.296,4,0.11,-10.082,0,0.0437,114.485,3,0.0354
22TntnVO3lQNDR5nsvxGRs,0.435,0.223,422147,0.523,0.283,0,0.225,-9.281,0,0.0466,179.83,3,0.15
3hRV0jL3vUpRrcy398teAU,0.968,0.448,208212,0.369,0.272,9,0.638,-9.514,1,0.0452,174.097,3,0.0998
6N22FZs2ZhPBYi3b9XPajV,0.471,0.316,153294,0.63,0.262,5,0.205,-5.963,1,0.117,89.643,1,0.313
6ulzbP2FPXGTdVoSFEyLdQ,0.776,0.79,202012,0.279,0.262,0,0.0936,-14.935,1,0.0945,79.998,4,0.714
3iMAe3zVMkKZ9xBZFV02Vo,0.00296,0.687,172321,0.651,0.26,1,0.0819,-4.756,1,0.0419,119.96,4,0.508
1YvKsn3ID4XvpwSSiqu1Jc,0.00744,0.407,249347,0.654,0.259,6,0.343,-7.09,0,0.0415,173.954,4,0.39
7ft8GUKMIuFnH4lueyOTQi,0.00409,0.687,235200,0.916,0.258,8,0.0474,-4.311,1,0.0668,125.001,4,0.246
6sPpUfwcYBgW3kTXStNsVM,0.918,0.341,206493,0.37,0.258,9,0.074,-10.661,0,0.0393,96.677,4,0.0417
5ehoXwpw70o6WEEufJm1q7,0.457,0.661,213818,0.396,0.258,7,0.919,-13.093,0,0.0466,109.989,4,0.0352
14Nb0s8V4qOb6hW3xuWwhz,0.969,0.494,130042,0.234,0.257,2,0.105,-16.678,1,0.0323,141.921,4,0.372
1SsUx7lHTfuiSSB1KfRMdE,0.68,0.601,255800,0.511,0.252,0,0.0732,-7.297,1,0.038,139.955,4,0.469
3SrSjUKxAJ6Cq1vpe1mqCZ,0.00979,0.579,197267,0.783,0.244,8,0.116,-6.4,1,0.0453,165.057,4,0.69
7K1SROWMb0thuxaPENxD1u,0.156,0.454,186723,0.466,0.218,7,0.162,-7.354,1,0.0363,144.378,4,0.228
08wJ1B9yu9sPeoRa5fbpr3,0.00166,0.735,216800,0.831,0.217,9,0.291,-5.898,1,0.0332,123.017,4,0.756
